"Codice Ateco 2007",Descrizione,Aggiornamento
46.11.06,"Mediatori in materie prime agricole, materie prime e semilavorati tessili; pelli grezze",
46.11.07,Mediatori in animali vivi,
46.12,"Intermediari del commercio di combustibili, minerali, metalli e prodotti chimici",
46.12.0,"Intermediari del commercio di combustibili, minerali, metalli e prodotti chimici",
46.12.01,"Agenti e rappresentanti di carburanti, gpl, gas in bombole e simili; lubrificanti",
46.12.02,Agenti e rappresentanti di combustibili solidi,
46.12.03,"Agenti e rappresentanti di minerali, metalli e prodotti semilavorati",
46.12.04,Agenti e rappresentanti di prodotti chimici per l'industria,
46.12.05,Agenti e rappresentanti di prodotti chimici per l'agricoltura (inclusi i fertilizzanti),
46.12.06,"Procacciatori d'affari di combustibili, minerali, metalli e prodotti chimici",
46.12.07,"Mediatori in combustibili, minerali, metalli e prodotti chimici",
46.13,Intermediari del commercio di legname e materiali da costruzione,
46.13.0,Intermediari del commercio di legname e materiali da costruzione,
46.13.01,"Agenti e rappresentanti di legname, semilavorati in legno e legno artificiale",
46.13.02,Agenti e rappresentanti di materiale da costruzione (inclusi gli infissi e gli articoli igienico-sanitari); vetro piano,
46.13.03,Agenti e rappresentanti di apparecchi ed accessori per riscaldamento e condizionamento e altri prodotti similari,
46.13.04,Procacciatori d'affari di legname e materiali da costruzione,
46.13.05,Mediatori in legname e materiali da costruzione,
46.14,"Intermediari del commercio di macchinari, impianti industriali, navi e aeromobili",
46.14.0,"Intermediari del commercio di macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche",
46.14.01,"Agenti e rappresentanti di macchine, attrezzature ed impianti per l'industria ed il commercio; materiale e apparecchi elettrici ed elettronici per uso non domestico",
46.14.02,Agenti e rappresentanti di macchine per costruzioni edili e stradali,
46.14.03,"Agenti e rappresentanti di macchine, attrezzature per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche",
46.14.04,Agenti e rappresentanti di macchine ed attrezzature per uso agricolo (inclusi i trattori),
46.14.05,"Agenti e rappresentanti di navi, aeromobili e altri veicoli (esclusi autoveicoli, motocicli, ciclomotori e biciclette)",
46.14.06,"Procacciatori d'affari di macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche",
46.14.07,"Mediatori in macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche",
46.15,"Intermediari del commercio di mobili, articoli per la casa e ferramenta",
46.15.0,"Intermediari del commercio di mobili, articoli per la casa e ferramenta",
46.15.01,"Agenti e rappresentanti di mobili in legno, metallo e materie plastiche",
46.15.02,Agenti e rappresentanti di articoli di ferramenta e di bricolage,
46.15.03,"Agenti e rappresentanti di articoli casalinghi, porcellane, articoli in vetro eccetera",
46.15.04,"Agenti e rappresentanti di vernici, carte da parati, stucchi e cornici decorativi",
46.15.05,"Agenti e rappresentanti di mobili e oggetti di arredamento per la casa in canna, vimini, giunco, sughero, paglia; scope, spazzole, cesti e simili",
46.15.06,"Procacciatori d'affari di mobili, articoli per la casa e ferramenta",
46.15.07,"Mediatori in mobili, articoli per la casa e ferramenta",
46.16,"Intermediari del commercio di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle",
46.16.0,"Intermediari del commercio di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle",
46.16.01,Agenti e rappresentanti di vestiario ed accessori di abbigliamento,
46.16.02,Agenti e rappresentanti di pellicce,
46.16.03,Agenti e rappresentanti di tessuti per abbigliamento ed arredamento (incluse merceria e passamaneria),
46.16.04,"Agenti e rappresentanti di camicie, biancheria e maglieria intima",
46.16.05,Agenti e rappresentanti di calzature ed accessori,
46.16.06,"Agenti e rappresentanti di pelletteria, valige ed articoli da viaggio",
46.16.07,"Agenti e rappresentanti di articoli tessili per la casa, tappeti, stuoie e materassi",
46.16.08,"Procacciatori d'affari di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle",
46.16.09,"Mediatori in prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle",
46.17,"Intermediari del commercio di prodotti alimentari, bevande e tabacco",
46.17.0,"Intermediari del commercio di prodotti alimentari, bevande e tabacco",
46.17.01,"Agenti e rappresentanti di prodotti ortofrutticoli freschi, congelati e surgelati",
46.17.02,"Agenti e rappresentanti di carni fresche, congelate, surgelate, conservate e secche; salumi",
46.17.03,"Agenti e rappresentanti di latte, burro e formaggi",
46.17.04,"Agenti e rappresentanti di oli e grassi alimentari: olio d'oliva e di semi, margarina ed altri prodotti similari",
46.17.05,Agenti e rappresentanti di bevande e prodotti similari,
46.17.06,"Agenti e rappresentanti di prodotti ittici freschi, congelati, surgelati e conservati e secchi",
46.17.07,Agenti e rappresentanti di altri prodotti alimentari (incluse le uova e gli alimenti per gli animali domestici); tabacco,
46.17.08,"Procacciatori d'affari di prodotti alimentari, bevande e tabacco",
46.17.09,"Mediatori in prodotti alimentari, bevande e tabacco",
46.18,Intermediari del commercio specializzato in altri prodotti,
46.18.1,"Intermediari del commercio di prodotti di carta, cancelleria, libri",
46.18.11,Agenti e rappresentanti di carta e cartone (esclusi gli imballaggi); articoli di cartoleria e cancelleria,
46.18.12,Agenti e rappresentanti di libri e altre pubblicazioni (incluso i relativi abbonamenti),
46.18.13,"Procacciatori d'affari di prodotti di carta, cancelleria, libri",
46.18.14,"Mediatori in prodotti di carta, cancelleria, libri",
46.18.2,"Intermediari del commercio di elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici",
46.18.21,"Agenti e rappresentanti di elettronica di consumo audio e video, materiale elettrico per uso domestico",
46.18.22,Agenti e rappresentanti di apparecchi elettrodomestici,
46.18.23,"Procacciatori d'affari di elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici",
46.18.24,"Mediatori in elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici",
46.18.3,Intermediari del commercio di prodotti farmaceutici e di cosmetici,
46.18.31,Agenti e rappresentanti di prodotti farmaceutici; prodotti di erboristeria per uso medico,
46.18.32,"Agenti e rappresentanti di prodotti sanitari ed apparecchi medicali, chirurgici e ortopedici; apparecchi per centri di estetica",
46.18.33,Agenti e rappresentanti di prodotti di profumeria e di cosmetica (inclusi articoli per parrucchieri); prodotti di erboristeria per uso cosmetico,
46.18.34,Procacciatori d'affari di prodotti farmaceutici e di cosmetici,
46.18.35,Mediatori in prodotti farmaceutici e cosmetici,
46.18.9,"Intermediari del commercio di attrezzature sportive, biciclette e altri prodotti nca",
46.18.91,Agenti e rappresentanti di attrezzature sportive; biciclette,
46.18.92,"Agenti e rappresentanti di orologi, oggetti e semilavorati per gioielleria e oreficeria",
46.18.93,"Agenti e rappresentanti di articoli fotografici, ottici e prodotti simili; strumenti scientifici e per laboratori di analisi",
46.18.94,"Agenti e rappresentanti di saponi, detersivi, candele e prodotti simili",
46.18.95,Agenti e rappresentanti di giocattoli,
46.18.96,Agenti e rappresentanti di chincaglieria e bigiotteria,
46.18.97,"Agenti e rappresentanti di altri prodotti non alimentari nca (inclusi gli imballaggi e gli articoli antinfortunistici, antincendio e pubblicitari)",
46.18.98,"Procacciatori d'affari di attrezzature sportive, biciclette e altri prodotti nca",
46.18.99,"Mediatori in attrezzature sportive, biciclette e altri prodotti nca",
46.19,Intermediari del commercio di vari prodotti senza prevalenza di alcuno,
46.19.0,Intermediari del commercio di vari prodotti senza prevalenza di alcuno,
46.19.01,Agenti e rappresentanti di vari prodotti senza prevalenza di alcuno,
46.19.02,Procacciatori d'affari di vari prodotti senza prevalenza di alcuno,
46.19.03,Mediatori in vari prodotti senza prevalenza di alcuno,
46.19.04,Gruppi di acquisto; mandatari agli acquisti; buyer,
46.2,COMMERCIO ALL'INGROSSO DI MATERIE PRIME AGRICOLE E DI ANIMALI VIVI,
46.21,"Commercio all'ingrosso di cereali, tabacco grezzo, sementi e alimenti per il bestiame (mangimi)",
46.21.1,Commercio all'ingrosso di cereali e legumi secchi,
46.21.10,Commercio all'ingrosso di cereali e legumi secchi,
46.21.2,"Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi), piante officinali, semi oleosi, patate da semina, tabacco grezzo",
46.21.21,Commercio all'ingrosso di tabacco grezzo,
46.21.22,"Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi), piante officinali, semi oleosi, patate da semina",
46.22,Commercio all'ingrosso di fiori e piante,
46.22.0,Commercio all'ingrosso di fiori e piante,
46.22.00,Commercio all'ingrosso di fiori e piante,
46.23,Commercio all'ingrosso di animali vivi,
46.23.0,Commercio all'ingrosso di animali vivi,
46.23.00,Commercio all'ingrosso di animali vivi,
46.24,Commercio all'ingrosso di pelli e cuoio,
46.24.1,Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per pellicceria),
46.24.10,Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per pellicceria),
46.24.2,Commercio all'ingrosso di pelli gregge e lavorate per pellicceria,
46.24.20,Commercio all'ingrosso di pelli gregge e lavorate per pellicceria,
46.3,"COMMERCIO ALL'INGROSSO DI PRODOTTI ALIMENTARI, BEVANDE E PRODOTTI DEL TABACCO",
46.31,Commercio all'ingrosso di frutta e ortaggi freschi o conservati,
46.31.1,Commercio all'ingrosso di frutta e ortaggi freschi,
46.31.10,Commercio all'ingrosso di frutta e ortaggi freschi,
46.31.2,Commercio all'ingrosso di frutta e ortaggi conservati,
46.31.20,Commercio all'ingrosso di frutta e ortaggi conservati,
46.32,Commercio all'ingrosso di carne e di prodotti a base di carne,
46.32.1,"Commercio all'ingrosso di carne fresca, congelata e surgelata",
46.32.10,"Commercio all'ingrosso di carne fresca, congelata e surgelata",
46.32.2,Commercio all'ingrosso di prodotti di salumeria,
46.32.20,Commercio all'ingrosso di prodotti di salumeria,
46.33,"Commercio all'ingrosso di prodotti lattiero-caseari, uova, oli e grassi commestibili",
46.33.1,Commercio all'ingrosso di prodotti lattiero-caseari e di uova,
46.33.10,Commercio all'ingrosso di prodotti lattiero-caseari e di uova,
46.33.2,Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale,
46.33.20,Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale,
46.34,Commercio all'ingrosso di bevande,
46.34.1,Commercio all'ingrosso di bevande alcoliche,
46.34.10,Commercio all'ingrosso di bevande alcoliche,
46.34.2,Commercio all'ingrosso di bevande non alcoliche,
46.34.20,Commercio all'ingrosso di bevande non alcoliche,
46.35,Commercio all'ingrosso di prodotti del tabacco ,
46.35.0,Commercio all'ingrosso di prodotti del tabacco,
46.35.00,Commercio all'ingrosso di prodotti del tabacco,
46.36,"Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno",
46.36.0,"Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno",
46.36.00,"Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno",
46.37,"Commercio all'ingrosso di caffè, tè, cacao e spezie",
46.37.0,"Commercio all'ingrosso di caffè, tè, cacao e spezie",
46.37.01,Commercio all'ingrosso di caffè,
46.37.02,"Commercio all'ingrosso di tè, cacao e spezie",
46.38,"Commercio all'ingrosso di altri prodotti alimentari, inclusi pesci, crostacei e molluschi",
46.38.1,Commercio all'ingrosso di prodotti della pesca freschi,
46.38.10,Commercio all'ingrosso di prodotti della pesca freschi,
46.38.2,"Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, secchi",
46.38.20,"Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, secchi",
46.38.3,Commercio all'ingrosso di pasti e piatti pronti,
46.38.30,Commercio all'ingrosso di pasti e piatti pronti,
46.38.9,Commercio all'ingrosso di altri prodotti alimentari,
46.38.90,Commercio all'ingrosso di altri prodotti alimentari,
46.39,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacco",
46.39.1,Commercio all'ingrosso non specializzato di prodotti surgelati,
46.39.10,Commercio all'ingrosso non specializzato di prodotti surgelati,
46.39.2,"Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco",
46.39.20,"Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco",
46.4,COMMERCIO ALL'INGROSSO DI BENI DI CONSUMO FINALE,
46.41,Commercio all'ingrosso di prodotti tessili,
46.41.1,Commercio all'ingrosso di tessuti,
46.41.10,Commercio all'ingrosso di tessuti,
46.41.2,"Commercio all'ingrosso di articoli di merceria, filati e passamaneria",
46.41.20,"Commercio all'ingrosso di articoli di merceria, filati e passamaneria",
46.41.9,Commercio all'ingrosso di altri articoli tessili,
46.41.90,Commercio all'ingrosso di altri articoli tessili,
46.42,Commercio all'ingrosso di abbigliamento e di calzature,
46.42.1,Commercio all'ingrosso di abbigliamento e accessori,
46.42.10,Commercio all'ingrosso di abbigliamento e accessori,
46.42.2,Commercio all'ingrosso di articoli in pelliccia,
46.42.20,Commercio all'ingrosso di articoli in pelliccia,
46.42.3,"Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili",
46.42.30,"Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili",
46.42.4,Commercio all'ingrosso di calzature e accessori,
46.42.40,Commercio all'ingrosso di calzature e accessori,
46.43,"Commercio all'ingrosso di elettrodomestici, elettronica di consumo audio e video; articoli per fotografia, cinematografia e ottica",
46.43.1,"Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video",
46.43.10,"Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video",
46.43.2,"Commercio all'ingrosso di supporti registrati, audio, video (Cd, Dvd e altri supporti)",
46.43.20,"Commercio all'ingrosso di supporti registrati, audio, video (Cd, Dvd e altri supporti)",
46.43.3,"Commercio all'ingrosso di articoli per fotografia, cinematografia e ottica",
46.43.30,"Commercio all'ingrosso di articoli per fotografia, cinematografia e ottica",
46.44,"Commercio all'ingrosso di articoli di porcellana, di vetro e di prodotti per la pulizia",
46.44.1,Commercio all'ingrosso di vetreria e cristalleria,
46.44.10,Commercio all'ingrosso di vetreria e cristalleria,
46.44.2,Commercio all'ingrosso di ceramiche e porcellana,
46.44.20,Commercio all'ingrosso di ceramiche e porcellana,
46.44.3,"Commercio all'ingrosso di saponi, detersivi e altri prodotti per la pulizia",
46.44.30,"Commercio all'ingrosso di saponi, detersivi e altri prodotti per la pulizia",
46.44.4,"Commercio all'ingrosso di coltelleria, posateria e pentolame",
46.44.40,"Commercio all'ingrosso di coltelleria, posateria e pentolame",
46.45,Commercio all'ingrosso di profumi e cosmetici,
46.45.0,Commercio all'ingrosso di profumi e cosmetici,
46.45.00,Commercio all'ingrosso di profumi e cosmetici,
46.46,Commercio all'ingrosso di prodotti farmaceutici,
46.46.1,Commercio all'ingrosso di medicinali,
46.46.10,Commercio all'ingrosso di medicinali,
46.46.2,Commercio all'ingrosso di prodotti botanici per uso farmaceutico,
46.46.20,Commercio all'ingrosso di prodotti botanici per uso farmaceutico,
46.46.3,Commercio all'ingrosso di articoli medicali ed ortopedici,
46.46.30,Commercio all'ingrosso di articoli medicali ed ortopedici,
46.47,"Commercio all'ingrosso di mobili, tappeti e articoli per l'illuminazione",
46.47.1,Commercio all'ingrosso di mobili di qualsiasi materiale,
46.47.10,Commercio all'ingrosso di mobili di qualsiasi materiale,
46.47.2,Commercio all'ingrosso di tappeti,
46.47.20,Commercio all'ingrosso di tappeti,
46.47.3,Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico,
46.47.30,Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico,
46.48,Commercio all'ingrosso di orologi e di gioielleria,
46.48.0,Commercio all'ingrosso di orologi e di gioielleria,
46.48.00,Commercio all'ingrosso di orologi e di gioielleria,
46.49,Commercio all'ingrosso di altri beni di consumo,
46.49.1,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria",
46.49.10,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria",
46.49.2,"Commercio all'ingrosso di libri, riviste e giornali",
46.49.20,"Commercio all'ingrosso di libri, riviste e giornali",
46.49.3,Commercio all'ingrosso di giochi e giocattoli,
46.49.30,Commercio all'ingrosso di giochi e giocattoli,
46.49.4,Commercio all'ingrosso di articoli sportivi (incluse le biciclette),
46.49.40,Commercio all'ingrosso di articoli sportivi (incluse le biciclette),
46.49.5,Commercio all'ingrosso di articoli in pelle; articoli da viaggio in qualsiasi materiale,
46.49.50,Commercio all'ingrosso di articoli in pelle; articoli da viaggio in qualsiasi materiale,
46.49.9,Commercio all'ingrosso di vari prodotti di consumo non alimentare nca,
46.49.90,Commercio all'ingrosso di vari prodotti di consumo non alimentare nca,
46.5,COMMERCIO ALL'INGROSSO DI APPARECCHIATURE ICT,
46.51,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",
46.51.0,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",
46.51.00,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",
46.52,Commercio all'ingrosso di apparecchiature elettroniche per telecomunicazioni e componenti elettronici ,
46.52.0,Commercio all'ingrosso apparecchiature elettroniche per telecomunicazioni e componenti elettronici,
46.52.01,Commercio all'ingrosso di apparecchi e materiali telefonici,
46.52.02,Commercio all'ingrosso di nastri non registrati,
46.52.09,Commercio all'ingrosso di altre apparecchiature elettroniche per telecomunicazioni e di altri componenti elettronici,
46.6,"COMMERCIO ALL'INGROSSO DI ALTRI MACCHINARI, ATTREZZATURE E FORNITURE",
46.61,"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole",
46.61.0,"Commercio all'ingrosso di macchine, accessori e utensili agricoli, inclusi i trattori",
46.61.00,"Commercio all'ingrosso di macchine, accessori e utensili agricoli, inclusi i trattori",
46.62,Commercio all'ingrosso di macchine utensili,
46.62.0,Commercio all'ingrosso di macchine utensili (incluse le relative parti intercambiabili),
46.62.00,Commercio all'ingrosso di macchine utensili (incluse le relative parti intercambiabili),
46.63,"Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile",
46.63.0,"Commercio all'ingrosso di macchine per le miniere, l'edilizia e l'ingegneria civile",
46.63.00,"Commercio all'ingrosso di macchine per le miniere, l'edilizia e l'ingegneria civile",
46.64,"Commercio all'ingrosso di macchinari per l'industria tessile, di macchine per cucire e per maglieria",
46.64.0,"Commercio all'ingrosso di macchine per l'industria tessile, di macchine per cucire e per maglieria",
46.64.00,"Commercio all'ingrosso di macchine per l'industria tessile, di macchine per cucire e per maglieria",
46.65,Commercio all'ingrosso di mobili per ufficio e negozi,
46.65.0,Commercio all'ingrosso di mobili per ufficio e negozi,
46.65.00,Commercio all'ingrosso di mobili per ufficio e negozi,
46.66,Commercio all'ingrosso di altre macchine e attrezzature per ufficio,
46.66.0,Commercio all'ingrosso di altre macchine e attrezzature per ufficio,
46.66.00,Commercio all'ingrosso di altre macchine e attrezzature per ufficio,
46.69,Commercio all'ingrosso di altri macchinari e attrezzature,
46.69.1,Commercio all'ingrosso di mezzi ed attrezzature di trasporto,
46.69.11,Commercio all'ingrosso di imbarcazioni da diporto,
46.69.19,Commercio all'ingrosso di altri mezzi ed attrezzature di trasporto,
46.69.2,Commercio all'ingrosso di materiale elettrico per impianti di uso industriale,
46.69.20,Commercio all'ingrosso di materiale elettrico per impianti di uso industriale,
46.69.3,"Commercio all'ingrosso di apparecchiature per parrucchieri, palestre, solarium e centri estetici",
46.69.30,"Commercio all'ingrosso di apparecchiature per parrucchieri, palestre, solarium e centri estetici",
46.69.9,"Commercio all'ingrosso di altre macchine e attrezzature per l'industria, il commercio e la navigazione",
46.69.91,Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso scientifico,
46.69.92,Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso non scientifico,
46.69.93,Commercio all'ingrosso di giochi per luna-park e videogiochi per pubblici esercizi,
46.69.94,Commercio all'ingrosso di articoli antincendio e antinfortunistici,
46.69.99,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",
46.7,COMMERCIO ALL'INGROSSO SPECIALIZZATO DI ALTRI PRODOTTI,
46.71,"Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati",
46.71.0,"Commercio all'ingrosso di prodotti petroliferi e lubrificanti per autotrazione, di combustibili per riscaldamento",
46.71.00,"Commercio all'ingrosso di prodotti petroliferi e lubrificanti per autotrazione, di combustibili per riscaldamento",
46.72,Commercio all'ingrosso di metalli e di minerali metalliferi,
46.72.1,"Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati",
46.72.10,"Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati",
46.72.2,Commercio all'ingrosso di metalli non ferrosi e prodotti semilavorati,
46.72.20,Commercio all'ingrosso di metalli non ferrosi e prodotti semilavorati,
46.73,"Commercio all'ingrosso di legname e di materiali da costruzione, apparecchi igienico-sanitari, vetro piano, vernici e colori",
46.73.1,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale",
46.73.10,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale",
46.73.2,Commercio all'ingrosso di materiali da costruzione (inclusi gli apparecchi igienico-sanitari),
46.73.21,Commercio all'ingrosso di moquette e linoleum,
46.73.22,Commercio all'ingrosso di altri materiali per rivestimenti (inclusi gli apparecchi igienico-sanitari),
46.73.23,Commercio all'ingrosso di infissi,
46.73.29,Commercio all'ingrosso di altri materiali da costruzione,
46.73.3,Commercio all'ingrosso di vetro piano,
46.73.30,Commercio all'ingrosso di vetro piano,
46.73.4,"Commercio all'ingrosso di carta da parati, colori e vernici",
46.73.40,"Commercio all'ingrosso di carta da parati, colori e vernici",
46.74,"Commercio all'ingrosso di ferramenta, di apparecchi e accessori per impianti idraulici e di riscaldamento",
46.74.1,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),
46.74.10,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),
46.74.2,"Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento",
46.74.20,"Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento",
46.75,Commercio all'ingrosso di prodotti chimici,
46.75.0,Commercio all'ingrosso di prodotti chimici,
46.75.01,Commercio all'ingrosso di fertilizzanti e di altri prodotti chimici per l'agricoltura,
46.75.02,Commercio all'ingrosso di prodotti chimici per l'industria,
46.76,Commercio all'ingrosso di altri prodotti intermedi,
46.76.1,Commercio all'ingrosso di fibre tessili gregge e semilavorate,
46.76.10,Commercio all'ingrosso di fibre tessili gregge e semilavorate,
46.76.2,"Commercio all'ingrosso di gomma greggia, materie plastiche in forme primarie e semilavorati",
46.76.20,"Commercio all'ingrosso di gomma greggia, materie plastiche in forme primarie e semilavorati",
46.76.3,Commercio all'ingrosso di imballaggi,
46.76.30,Commercio all'ingrosso di imballaggi,
46.76.9,Commercio all'ingrosso di altri prodotti intermedi nca,
46.76.90,Commercio all'ingrosso di altri prodotti intermedi nca,
46.77,Commercio all'ingrosso di rottami e cascami,
46.77.1,Commercio all'ingrosso di rottami e sottoprodotti della lavorazione industriale metallici,
46.77.10,Commercio all'ingrosso di rottami e sottoprodotti della lavorazione industriale metallici,
46.77.2,"Commercio all'ingrosso di altri materiali di recupero non metallici (vetro, carta, cartoni eccetera); sottoprodotti non metallici della lavorazione industriale (cascami)",
46.77.20,"Commercio all'ingrosso di altri materiali di recupero non metallici (vetro, carta, cartoni eccetera); sottoprodotti non metallici della lavorazione industriale (cascami)",
46.9,COMMERCIO ALL'INGROSSO NON SPECIALIZZATO,
46.90,Commercio all'ingrosso non specializzato,
46.90.0,Commercio all'ingrosso non specializzato,
46.90.00,Commercio all'ingrosso non specializzato,
47,COMMERCIO AL DETTAGLIO (ESCLUSO QUELLO DI AUTOVEICOLI E DI MOTOCICLI),
47.1,COMMERCIO AL DETTAGLIO IN ESERCIZI NON SPECIALIZZATI,
47.11,Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti alimentari e bevande,
47.11.1,Ipermercati,
47.11.10,Ipermercati,
47.11.2,Supermercati,
47.11.20,Supermercati,
47.11.3,Discount di alimentari,
47.11.30,Discount di alimentari,
47.11.4,Minimercati ed altri esercizi non specializzati di alimentari vari,
47.11.40,Minimercati ed altri esercizi non specializzati di alimentari vari,
47.11.5,Commercio al dettaglio di prodotti surgelati,
47.11.50,Commercio al dettaglio di prodotti surgelati,
47.19,Commercio al dettaglio in altri esercizi non specializzati,
47.19.1,Grandi magazzini,
47.19.10,Grandi magazzini,
47.19.2,"Commercio al dettaglio in esercizi non specializzati di computer, periferiche, attrezzature per le telecomunicazioni, elettronica di consumo audio e video, elettrodomestici",
47.19.20,"Commercio al dettaglio in esercizi non specializzati di computer, periferiche, attrezzature per le telecomunicazioni, elettronica di consumo audio e video, elettrodomestici",
47.19.9,Empori ed altri negozi non specializzati di vari prodotti non alimentari,
47.19.90,Empori ed altri negozi non specializzati di vari prodotti non alimentari,
47.2,"COMMERCIO AL DETTAGLIO DI PRODOTTI ALIMENTARI, BEVANDE E TABACCO IN ESERCIZI SPECIALIZZATI",
47.21,Commercio al dettaglio di frutta e verdura in esercizi specializzati,
47.21.0,Commercio al dettaglio di frutta e verdura,
47.21.01,Commercio al dettaglio di frutta e verdura fresca,
47.21.02,Commercio al dettaglio di frutta e verdura preparata e conservata,
47.22,Commercio al dettaglio di carni e di prodotti a base di carne in esercizi specializzati,
47.22.0,Commercio al dettaglio di carni e di prodotti a base di carne,
47.22.00,Commercio al dettaglio di carni e di prodotti a base di carne,
47.23,"Commercio al dettaglio di pesci, crostacei e molluschi in esercizi specializzati",
47.23.0,"Commercio al dettaglio di pesci, crostacei e molluschi",
47.23.00,"Commercio al dettaglio di pesci, crostacei e molluschi",
47.24,"Commercio al dettaglio di pane, torte, dolciumi e confetteria in esercizi specializzati",
47.24.1,Commercio al dettaglio di pane,
47.24.10,Commercio al dettaglio di pane,
47.24.2,"Commercio al dettaglio di torte, dolciumi, confetteria",
47.24.20,"Commercio al dettaglio di torte, dolciumi, confetteria",
47.25,Commercio al dettaglio di bevande in esercizi specializzati,
47.25.0,Commercio al dettaglio di bevande,
47.25.00,Commercio al dettaglio di bevande,
47.26,Commercio al dettaglio di prodotti del tabacco in esercizi specializzati,
47.26.0,Commercio al dettaglio di generi di monopolio (tabaccherie),
47.26.00,Commercio al dettaglio di generi di monopolio (tabaccherie),
47.29,Commercio al dettaglio di altri prodotti alimentari in esercizi specializzati,
47.29.1,Commercio al dettaglio di latte e di prodotti lattiero-caseari,
47.29.10,Commercio al dettaglio di latte e di prodotti lattiero-caseari,
47.29.2,Commercio al dettaglio di caffè torrefatto,
47.29.20,Commercio al dettaglio di caffè torrefatto,
47.29.3,Commercio al dettaglio di prodotti macrobiotici e dietetici,
47.29.30,Commercio al dettaglio di prodotti macrobiotici e dietetici,
47.29.9,Commercio al dettaglio di altri prodotti alimentari in esercizi specializzati nca,
47.29.90,Commercio al dettaglio di altri prodotti alimentari in esercizi specializzati nca,
47.3,COMMERCIO AL DETTAGLIO DI CARBURANTE PER AUTOTRAZIONE IN ESERCIZI SPECIALIZZATI,
47.30,Commercio al dettaglio di carburante per autotrazione in esercizi specializzati,
47.30.0,Commercio al dettaglio di carburante per autotrazione,
47.30.00,Commercio al dettaglio di carburante per autotrazione,
47.4,COMMERCIO AL DETTAGLIO DI APPARECCHIATURE INFORMATICHE E PER LE TELECOMUNICAZIONI (ICT) IN ESERCIZI SPECIALIZZATI,
47.41,"Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in esercizi specializzati",
47.41.0,"Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in esercizi specializzati",
